,Score,Sentece1,Sentece2
405,4.0,A young boy wearing a red winter coat is eating and holding up a candy bar.,A young boy wearing a red coat eats a chocolate bar.
406,0.0,Two racing dogs run in the mud.,The man is going into the water.
407,3.2,"A young boy jumping into a pool that says ""no diving"".",A boy jumps into a pool while lifeguards watch.
408,1.4,Three dogs running in the dirt.,The yellow dog is running on the dirt road.
409,3.6,Four children on stools in a diner.,Four children sit on tall bar stools at a yellow and grey bar.
410,4.4,Boy and white dog running in grassy field,A boy and a dog running on grass
411,5.0,Two boys playing a game of flag football.,Two boys are playing flag football.
412,1.8,The black and white dog has its mouth wide open.,A black and white dog jumps in the snow.
413,4.8,One white boy and one black boy stand with arms around each other.,"Two young boys, one white and one black, are standing with their arms around each other."
414,0.6,Girl playing in a puddle with her bare feet.,A child is playing with two white and black geese.
415,1.4,Two children splashing in the water.,Two dolphins jumping into the water.
416,0.2,A man in a suit dances with a young girl in front of an audience.,A women dangles from a blue fabric connected to a tree.
417,4.2,Three children playing on a floor with toys.,Three children sitting in floor playing with several toys.
418,4.6,The two dogs are playing in the yard.,Two dogs are playing on the grass.
419,4.0,The # 2 greyhound dog is running around a track.,a muzzled greyhound dog is running around a track
420,4.6,four children are playing on a trampoline.,Four kids are jumping on a trampoline.
421,1.8,A black and tan dog standing in a field near trees,A white dog is standing by a river shaking himself dry.
422,4.6,A black dog running into the water.,A black dog running through water.
423,0.2,a man and woman walking past a record shop,A man and woman kissing in front of a crowd of people.
424,2.6,Two dogs play in the grass.,Two tan dogs play in the snow.
425,3.8,Three children wrestle on a floral carpet.,Three children playing on the floor.
426,0.0,A boy in red jumping into a sandbox.,A dog swimming in a pond
427,5.0,a dog jumps into the water.,A dog is jumping into the water.
428,3.6,"A wet, blond dog carries a stick on the shore.","The wet, brown dog has a stick in his mouth and is running in the sand next to the water."
429,4.6,A man and a dog on rocks on a beach.,A man and dog on a rocky seashore.
430,2.0,Large group of people standing outside of a building.,A group of people are ice skating in a big city.
431,5.0,Two dogs are running in the field.,Two dogs running in a field.
432,0.0,Two people are in bed.,Two boxers are in the ring.
433,3.4,A light brown dog runs down a path happily.,A pale dog runs down a path.
434,0.0,A red haired women in black is posing for a man while resting on a tree.,A man in a black shirt is holding a child wearing sunglasses.
435,2.0,Two black dogs are jumping and playing with a yellow tennis ball in the snow.,A brown dog and a black dog playing with a yellow soccer ball.
436,2.0,A black and white dog is jumping over a hurdle.,A white dog running over a bridge.
437,4.6,Two brown dogs runs through the water.,Two brown dogs running through water.
438,3.0,A black dog is jumping out of water.,A black dog is shaking off water.
439,4.6,A man climbing a rock-face.,A man is climbing a rock wall.
440,2.0,Woman playing tennis and hitting the ball.,A woman is playing volley ball.
441,2.6,"A young boy with his hair standing up, is sliding down a blue slide",The kid in the orange shirt is sliding down a teal slide.
442,0.4,A dog standing in the water.,A girl playing on a parachute.
443,2.6,A surfer is riding on a breaking wave.,a group of surfers catching a wave
444,4.2,Two dogs are running through the grass near a house and trees.,Two dogs are running through a green yard
445,0.0,A brown and white dog is running across a brown field.,A person hanging from a rocky cliff.
446,2.2,A black dog standing in the grass near a volleyball.,A brown and black down with a blue collar near a soccer ball on a grassy field.
447,4.0,A white dog with light brown markings has a stick in his mouth and his paws in the snow.,A white dog holds a stick in its mouth while it runs through snow.
448,0.0,A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A man in a white print shirt and a woman in a black dress dancing.
449,2.0,A black and white dog is running through the grass.,A tan dog is walking through snow.
450,3.0,A harnessed dog leaps over a log as another dog follows behind.,A brown and white dog is leaping over a log in a field while another dog follows behind it.
451,2.6,A dog running on the grass,Two dogs are running on the grass.
452,0.0,Many football players sitting on the ground.,A dog rolls on the ground.
453,0.0,A little boy and a little girl playing together outside.,A woman wearing a white shirt stands on the street.
454,4.8,The surfer does a flip off of a wave.,A surfer does a flip on a wave.
455,3.0,A female DJ holds up a Michael Jackson album.,a girl holding a picture of Michael Jackson smiling
456,2.2,two white standard poodles play with a toy in the snow,Two dogs fighting in the snow.
457,4.4,Boy lies on stomach in grass.,Small boy lying on his stomach on the grass.
458,0.8,A white dog runs along a rocky shoreline.,A dog jumps over a hurdle.
459,3.4,a black and white dog jumping in the air to catch a Frisbee,A black and white dog jumping in a yard.
460,0.0,The woman is holding the harness that the brown and white dog is wearing.,A man and woman are looking at artwork that is on easels and clipped to a fencing wall.
461,0.6,A girl is jumping.,A boy is rock climbing.
462,0.0,A young pitcher is throwing the baseball.,A brown dog is walking on the grass beside a fence.
463,2.4,Three children playing in snow.,Three children playing in hay
464,3.4,Two people ride their bikes down a dirt road.,Two people riding their bikes on a hill.
465,4.0,A brown dog is running through the field.,a brown dog with his tongue wagging as he runs through a field
466,2.0,A dog is standing in the sand.,A tan dog is standing in front of some plants.
467,4.0,Four girls in swimsuits are playing volleyball at the beach.,Four ladies in swimsuits play sand volleyball on the beach.
468,4.8,A blonde haired toddler swinging on a tire swing.,A blonde haired child is swinging on a tire swing.
469,0.6,A child wearing blue and white shorts is jumping in the surf.,A girl wearing green twists something in her hands.
470,2.4,Two dogs running on the shore.,A white dog running on the beach.
471,4.4,A yellow car speeds along a snowy field.,A yellow car drives quickly in the snow.
472,2.4,Two dogs playing in snow.,Two dogs playing in grass.
473,4.8,One boy is pushing another boy on a swing.,A boy is pushing another boy on the swings.
474,3.4,A pitcher on a mound throws a baseball.,A boy in the middle of a pitch at a baseball game.
475,2.8,A little girl is riding a toy tricycle on springs.,A little girl is playing on a toy outdoors.
476,0.8,A woman is sitting in the water.,The woman is skating in the park.
477,2.2,A tan girl in a floral bikini is swimming in dark blue waters.,a little girl in a flowered bathingsuit runs through the sand at the beach
478,3.8,a grey dog swimming through a river with a stick in his mouth,Dog swimming through water carrying stick in its mouth
479,0.4,A woman in a blue bathing suit is jumping off a dock into a lake.,a boy in a blue shirt and blue jeans runs across a playground
480,4.6,Two black dogs are playing on the grass.,Two black dogs are playing in a grassy plain.
481,3.0,Two puppies playing with a plastic bag.,Two dogs playing in a yard.
482,4.6,A man in a black suit is surfing along a crashing wave.,A surfer wearing a black wet suit is riding a a white wave in the ocean.
483,0.8,Three little girls are sitting on the grass.,Two poodles are running through the snow.
484,4.0,A brown dog runs towards the camera on a dirt trail with mountains in the background.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
485,1.2,Dog is jumping down a ramp.,A girls is jumping in the sand.
486,3.2,The dog plays in the park.,The dog leaps over the fence in the park.
487,3.6,Four dogs stand in the snow.,Four dogs playing in the snow.
488,3.4,"Brown and black dogs on snow, showing teeth and barking at each other.",A black dog fighting with a brown dog in the snow.
489,5.0,A man running on a track.,a man running track
490,4.0,A light-colored dog runs through the grass.,A dog runs through the grass.
491,4.0,Child holding an object that is on fire.,A child in pink holds an object that appears to be on fire.
492,2.8,A small white dog climbs over a log.,a small dog steps onto a log.
493,3.8,The dogs play in the snow on hind legs.,Two dogs play in the snow.
494,2.6,A boy skateboards down the railing of some graffiti stairs,A skateboarder slides down a handrail on his feet.
495,2.0,A black and white dog runs through the water.,Black and brown dog runs through field.
496,0.8,A girl is running on a desert path.,A young girl is talking on a cell phone.
497,5.0,A man steers a blue boat past brightly colored houses.,a man driving a blue boat passes by some colorful houses.
498,1.0,A woman wearing large sunglasses holds newspapers in both hands.,A fat woman wearing faint blue top is blowing soap bubble.
499,5.0,A deer jumps a fence.,A deer is jumping over a fence.
500,2.4,A person is on a baseball team.,A person is playing basketball on a team.
501,2.0,A bike is next to a couple women.,A child next to a bike.
502,2.2,The group is eating while taking in a breathtaking view.,A group of people take a look at an unusual tree.
503,3.4,The boy is raising his hand.,The man is raising his hand.
504,0.8,A man with a gray beard is being shaved in front of a lecture hall,A man with a beard is sitting in the grass.
505,4.6,A young person  deep in thought.,A young man deep in thought.
506,2.8,A man is performing labor.,A man is performing today.
507,2.0,Two men wearing traditional clothing is standing outside.,Three women wearing black vests and gray shirts are talking outside of a building.
508,2.6,a man wearing a gray hat fishing out of a fishing boat.,A man wearing a straw hat and fishing vest in a stream.
509,0.2,A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,A dog in a red shirt is chasing a squirrel through the glass.
510,1.4,A person is watching people ski down the hill.,The woman is jumping a long distance while people watch.
511,1.6,The yard has a dog.,The dog is running after another dog.
512,3.2,Three women cook.,Two women cooking.
513,0.2,The woman is kneeling next to a cat.,A girl is standing next to a man.
514,2.4,Three guys playing a pro game of basketball.,two guys playing a game of baseball.
515,0.2,The boys are earning their next belt in karate.,Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.
516,1.4,A woman is digging in the sand.,A man is buried in the sand.
517,1.8,A woman drives a golf cart.,A man riding a cart.
518,1.6,A person filming the outdoors.,There is a couple outdoors.
519,3.8,A human riding a skateboard.,A child is riding a skateboard.
520,1.0,A woman in a plaid outfit is looking through a bag of produce.,"This is the picture of a woman in a flowered dress, toting something in a bucket."
521,1.2,The tennis player hit the ball into outer space and broke the death star.,A female tennis player is leaping into the air to hit the ball.
522,4.0,A boy climbs a forest hill.,A boy is climbing a hill.
523,2.0,Blond boy jumping onto deck.,A boy jumping down a wet inflatable slide.
524,2.6,A man uses a chainsaw to sculpt a phallic ice sculpture.,A man is using a chainsaw to carve a wooden sculpture.
525,3.8,A group of male construction workers repair railroad tracks on a cloudy day,A crew of workers working on a railroad track.
526,2.6,The girl has something on her head.,The woman has something with her.
527,0.2,People making a structure out of cards.,Two people are together and one is using a piece of clothing in a different way than intended.
528,3.0,There are four people outside.,Five people are outside.
529,1.8,Girls are holding hands in blue clothes,The young people are wearing jeans with their red and green shirts.
530,0.6,A man is demonstrating how to work with clay while at least two people observe.,At least one of the three women is talking to the others.
531,0.6,A dog has a sweater on.,A man in a suit jacket is sitting on a red couch with a cat.
532,0.2,Sculptor applying concrete to large statue of human figure standing with no head.,A person is standing in front of a building holding aloft some plywood
533,0.6,A boy with dark hair is in water and is looking up.,The man is short hair.
534,0.2,A pole is behind a person that is playing peekaboo with a child.,There is a child with a ball
535,1.0,A woman is about to paint.,A boy is about to take a picture.
536,3.4,a man working at the steel mill,A man working in a foundry.
537,1.4,The young woman is flirting with the young boy.,The girl is young and cheery.
538,2.0,the men are about to score in a water polo tournament,The two men are about to compete in a match.
539,2.8,A man eats popcorn while watching cartoons late one night.,A man and a girl are watching cartoons at home
540,3.2,Three men sit on a bench.,two men sit on a bench.
541,0.8,The road is long.,There is nothing on the side of the road.
542,1.8,a young man wearing a white t-shirt and green and black shorts standing on a stump.,A man wearing a white shirt and red and black shorts is running on the sidewalk.
543,2.2,A dog under the stairs,A dog is resting on the stairs.
544,4.2,Two women give a demonstration at a Renaissance Fair.,Two people are doing a demonstration at a renaissance fair.
545,5.0,Some guy sitting on a couch watching television.,A guy is sitting on the couch watching TV
546,1.2,A woman is posing for a Christmas card.,A girl is taking a photo.
547,2.8,A man is working on his farm.,An old guy is working on his farm and a cow kicks him.
548,4.4,A girl is talking to her dad on a cellphone.,a girl is talking on her phone.
549,4.4,One person wields an umbrella.,One person is holding an umbrella.
550,3.6,A group of teenagers jumping and having a good time.,A group of kids having a good time.
551,1.2,A man is playing his guitar at Joe's Cafe.,The man is playing the drums for his mom.
552,1.4,Someone is on a blanket.,The person is making a blanket.
553,3.4,The man has a orange shirt.,The woman has a orange shirt.
554,0.8,The two kids look at the products sold inside the subway shop.,The kids are stealing from a store.
555,2.8,The baby boy wants his mother.,A baby boy is happy to see his mother.
556,3.2,A boy is very close to a girl.,A girl is close to a boy whose face is not shown.
557,1.6,Six children are cleaning a room.,Two male children cleaning up leaves in a parking lot.
558,5.0,There is a cook preparing food.,A cook is making food.
559,3.6,Two men are helping a boy.,Two men are with a young child.
560,3.6,Two skiing people are doing cross country skiing.,People skiing cross country.
561,0.4,A dog taking a poop in the street.,A man making balloon animals for two children on a street corner.
562,1.8,A kid is talking in class.,A girl is going to class.
563,1.2,The women are trying to sell something to the individual.,The men are trying to make some money.
564,1.2,People are waiting for the fireworks to start.,Three people are waiting for the rain to stop.
565,2.2,A dog prepares to herd three sheep with horns.,A dog and sheep run together.
566,5.0,People gathered in a room.,People gathered together in a room.
567,2.6,The woman in overalls paints a picture for her wall.,A woman is painting her wall white.
568,0.0,Adding aspirin to the water could kill the plant.,Men are trying to remove oil from a body of water.
569,2.8,The woman is wearing yellow.,The woman is wearing red.
570,3.2,A man is doing a stunt on his bicycle.,A man is doing a wheelie on his motorcycle.
571,1.6,Ten people riding ATVs.,4 people are riding bikes
572,0.2,A yellow vested person is doing road work.,A person is doing very well on their skateboard.
573,3.8,Two workers are sitting next to pipes eating lunch,The construction workers are sitting down to eat lunch.
574,4.0,A group of people living in the desert,A group of people in the middle of the desert.
575,2.8,Two kids are swimming.,Six kids are going swimming.
576,5.0,people getting their dirty clothes cleaned,People are getting their clothes cleaned.
577,3.4,The children are holding musical instruments.,A group of children are singing and playing instruments
578,2.8,A group of people are wearing police uniforms conducting an arrest.,A group of police officers are wearing protection.
579,1.4,the man is planning to shoot a wedding,the woman is going to a wedding.
580,1.2,The child's bike got wet.,She is putting away the bike.
581,3.2,A soldier walks a dog.,A man walks a dog.
582,3.0,A shirtless woman is operating a lawn mower.,A girl is mowing the grass with a lawn mower.
583,2.2,The two officers are driving,Two officers are on horses.
584,2.0,The lady looks sad because no one is buying her wares.,The lady is selling things.
585,3.8,A flock of birds hovered over the sandy beach.,Birds are flying at a beach.
586,1.6,people walk home,People waiting.
587,4.8,A man is laughing with a woman,A man and a woman laughing.
588,1.2,He is about to run into the boat,The man is getting his boat clean to take it out on the water.
589,2.4,2 Cows are in a field.,Two sheep are in a field.
590,1.8,A wet child enjoys the summer.,A woman is enjoying the summer weather.
591,2.6,The girl has a driver's license,A man has a driver's license.
592,3.8,People on motorcycles wearing racing gear ride around a racetrack,People on motorcycles ride around a racetrack
593,1.2,A man is standing on the ground with a paintbrush,A man with a crutch lying on the ground.
594,0.2,The kids are at the theater watching a movie.,it is picture day for the boys
595,3.8,Two women walk down the sidewalk to the store.,Two women walk down the sidewalk in the afternoon.
596,2.4,A man has his son on his back,A man spent his time with his son.
597,0.4,A group of dark-skinned people are walking past barbed wire.,Two women are gossiping by a fence.
598,3.4,Zombies parading around eating brains.,The zombies are eating flesh together.
599,4.2,A group of people are sitting at at a beach on towels watching the Blue Angels.,A group of people are sitting at a beach watching the Blue Angels.
600,2.4,Three people are meeting for coffee.,Two people make coffee.
601,0.8,A young girl with dirt on her face and a red child's bike is in the background.,The old woman in shorts and a white t-shirt is standing on a path watching children play.
602,4.4,A line of scooters are parking in the middle of a street.,A line of motor bikes are parked in the middle of a street.
603,3.0,A man holding a cat.,A man holding a dog.
604,2.0,The cats are running through the grass.,Some dogs running through the park.
605,3.0,The two boys are playing kick ball back and forth to each other.,The players are kicking each other while attempting to kick the ball.
606,2.2,Two girls are running.,Three boys are running.
607,1.8,A little girl in a white blouse and blue pants frolics on the grass.,A woman in a green shirt and white pants golfs on the green.
608,2.8,A man in a white shirt and hat playing a guitar.,A man in a green shirt and black hat playing a guitar on stage.
609,2.8,A black hooded man is using a large magnifying glass to look at a booklet.,A white hooded woman is using a magnifying glass to look at a booklet.
610,5.0,the people are running a marathon,People are running a marathon
611,2.2,A group of people are nervous about crossing the water.,A group of people are on the water.
612,1.2,A group of kids are having a jumping contest.,A group of kids are having a sleepover.
613,1.6,The person is wearing a fedora.,A man is wearing a uniform.
614,2.8,A woman and a man embrace while watching a horror movie.,A man and a woman watch a movie together.
615,1.8,A man in a blue dress shirt.,A man in a white shirt and blue pants is talking with a woman in a pink shirt.
616,2.6,A couple is playing the game of Life.,The family is playing a game together.
617,0.2,The head of a child with dark glasses is in focus.,There is a woman with a full head of hair.
618,2.4,A maintenance guy is repairing a net on a tennis court.,A man removing a tennis net.
619,4.2,A kid sits on a soccer ball outside.,A kid sitting on a soccer ball at the park.
620,2.2,A man in a brown coat rubs his nose.,A bald man with a red beard holds his hand near his mouth.
621,1.6,The dog is chasing the geese.,One dog is chasing the other.
622,0.8,Small child playing with letter P,2 young girls are sitting in front of a bookcase and 1 is reading a book.
623,5.0,A brown dog is jumping.,A brown dog is jumping
624,1.2,A group of teenagers in red shirts are smiling.,A group of people are wearing orange shirts.
625,1.4,Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29."
626,3.6,Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details."
627,3.5,Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.,State officials estimated the cost at nearly $2 billion.
628,3.2,The American Express Corp. has pledged at least $3 million of more than $5 million needed.,"The city had requested federal funds, but withdrew that request when American Express pledged at least $3 million."
629,4.0,"Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15 with 85-mph wind.","Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15, classified as a Category 1 hurricane with maximum sustained winds of 85 mph."
630,2.0,Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.
631,3.6,"Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.","His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia."
632,4.2,"But Odette is the first to form over the Caribbean Sea in December, the Center said.",It is the first named storm to develop in the Caribbean in December.
633,4.0,The AFL-CIO is waiting until October to decide if it will endorse a candidate.,The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.
634,3.25,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.","The plan, called The NIH Roadmap, was developed over 14 months with help from more than 300 consultants in industry and academia."
635,3.4,Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.,Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.
636,3.667,Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.,Chiron has acceptances from holders of nearly 20 percent of PowderJect shares.
637,1.2,"Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.","Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion."
638,3.8,Another was in serious condition at Northwest Medical Center in Springdale.,"At Northwest Medical Center of Washington County in Springdale, one child is in serious condition."
639,3.4,"Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring down the NYSE's 27-member board, changing its composition and making it more accountable.","Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring the NYSE's 27-member board and allotting more seats to investors outside the securities industry."
640,3.2,The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.,"The Swedish central bank, also meeting on Wednesday, is widely expected to announce a cut on Thursday of as much as half a percentage point."
641,3.6,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.","His sport utility vehicle was found June 25, abandoned without its license plates in Virginia Beach, Va."
642,3.0,Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.,Heatley led Atlanta in scoring last season with a team-record 41 goals and 48 assists.
643,3.2,Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.,"In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy."
644,3.8,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.
645,4.2,The next court session will be when the three-judge tribunal announces its verdict in mid-February.,The court's three-judge tribunal was expected to give its verdict next February.
646,3.0,The consensus among Wall Street analysts was for a loss of 28 cents a share.,Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.
647,4.0,"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.","The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health."
648,4.75,Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.
649,3.533,The compensation committee will prohibit securities industry directors from sitting on it.,The exchange also said its five-person compensation committee will consist only of directors from outside the securities industry.
650,1.25,Q: Can I buy coverage for prescription drugs right away?,Congress has added a new benefit - an option to buy insurance coverage for prescription drugs.
651,4.0,"Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.",Shares of Mandalay closed down 8 cents at $29.42 Thursday.
652,3.0,"In 1999, the building's owners, the Port Authority of New York and New Jersey, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.",The NIST discovered that in 1999 the Port Authority issued guidelines to upgrade the fireproofing to a thickness of 1 1/2 inches.
653,2.6,"The dollar was last at $1.1149 to the euro, close to its strongest level since April 30.","The dollar pushed as high as $1.1115 to the euro in early trade, extending Tuesday's one percent rally to hit its strongest level since April 30."
654,3.5,"The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.","The single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in January 1999."
655,1.5,"A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported.","A 62-year-old West Babylon man has contracted the West Nile virus, the first human case in Suffolk County this year, according to the county health department."
656,2.0,He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.,But the North Korean nuclear crisis has dominated his time in office.
657,3.5,"A rebel who was captured said more than 2,000 insurgents were involved in the attack.","A captured rebel said 2,100 combatants had been involved in the offensive."
658,3.0,"Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.","JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi."
659,4.75,"Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.","Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations."
660,4.25,"On the cell's surface, the foreign components are recognised by other cells that then realise it is infected and kill it.",The foreign bits are recognized by other cells that realize it is infected and kill it.
661,3.8,Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday."
662,3.0,Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.,The health department spokesperson added the department is following Centers for Disease Control protocol.
663,3.0,"Schools Chancellor Joel Klein said the push for higher standards and accountability ""is showing results.""",Schools Chancellor Joel Klein said he was pleased by the results.
664,4.6,One witness told Anatolian he saw the plane on fire while it was still in the air.,One witness told the Anatolian news agency he saw the plane on fire in mid-air.
665,3.0,He proposed a system under which it would take fewer and fewer votes to overcome a filibuster.,Frist proposed a process in which it would take gradually fewer votes to overcome filibusters preventing final votes on judicial confirmations.
666,4.25,"Hormone replacement therapy that combines estrogen and progestin doubles a woman's risk of breast cancer, a British study of more than a million women has found.","A major British study has added to the evidence that hormone replacement therapy increases the risk of breast cancer, especially when women receive a combination of estrogen and progestin."
667,1.8,"Barbini's comments came Tuesday, the second day of the Ministerial Conference and Expo on Agricultural Science and Technology.",U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.
668,2.8,"Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.","Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents."
669,1.25,Lawtey is not the first faith-based program in Florida's prison system.,But Lawtey is the first entire prison to take that path.
670,3.75,The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.,"Under the proposed terms of the transaction, and following the spinoff of PalmSource, Palm will exchange 0.09 shares for each share of Handspring."
671,3.75,"The giant rock was first observed on August 24 by Lincoln Near-Earth Asteroid Research Program, based in Socorro, New Mexico.","The rock was first observed by the Lincoln Near Earth Asteroid Research Program, also known as LINEAR."
672,3.75,We need to change old habits and seriously rethink business-as-usual.,"He urged employees to ""avoid complacency"" and to ""change old habits and seriously rethink business-as-usual."""
673,4.6,"There are a total of 659 women enrolled at the academy, the report said.",There were 659 women enrolled at the academy at the time of the survey.
674,3.25,"It is a national concern that will touch virtually every American,"" Abraham said.","The impact of natural-gas shortages ""will touch virtually every American,"" Energy Secretary Spencer Abraham warned yesterday."
675,1.333,"In the United States, 20.7 percent of all women smoke.","Nevada is where the most women smoke, 28 percent."
676,2.5,It has a margin of error of plus or minus 4 percentage points.,That poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points.
677,3.25,"Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.",MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.
678,3.0,Diana was at her lowest ebb when she wrote the letter to Paul Burrell claiming there was a plot to kill her.,Burrell said Diana wrote a letter in October 1996 claiming there was a plot to kill her in a smash and gave it to him to keep as insurance.
679,3.6,Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer.,Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.
680,4.8,"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come."
681,4.0,"Under Mexican law, bounty hunting is considered a form of kidnapping.","Bounty hunting is illegal in Mexico, and the bounty hunter was charged with kidnapping."
682,3.4,The announcements were made at the International Broadcasting Convention (IBC) in Amsterdam.,"The submission was on Monday, but the announcement was made Friday at the International Broadcasting Convention in Amsterdam."
683,3.2,Its keywords are supported by Chinese language Web portals.,"Chinese language Web portals also support 3721 keywords, the Web site said."
684,2.5,The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.,"Analysts polled by Reuters Research, a unit of Reuters Group Plc, on average forecast profit of $1.69 per share."
685,3.25,"Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.","Two more died later, and initial autopsy reports show they succumbed to dehydration, hypothermia and suffocation."
686,3.8,Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.,Authorities looked to the public yesterday for help in solving the deadly sniper-style shootings of three people outside Charleston-area convenience stores.
687,4.4,"Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).",HP fell to second place with server sales growing 0.4 percent to $2.9 billion.
688,3.5,U.S. forces recently apprehended some 40 suspected foreign militants near the Syrian border and are now interrogating them.,"The Third Armored Cavalry Regiment recently apprehended about 40 suspected fighters near the Syrian border, officials said."
689,1.5,"That compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue during the same period last year.","Total revenue for the second quarter was $1.48 billion, up 7% from $1.39 billion in the same period last year."
690,2.8,Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.,"Bolivia's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday, leaving two dead as a popular uprising against the President spread."
691,3.6,"The A920 comes with a printer, scanner, and copier for $89.","Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89."
692,4.2,"But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.","But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said."
693,3.0,"Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.","Still, Singapore quarantined 70 people who had been in close contact with the scientist."
